,BDM,Territory,SourceSpreadsheetID,ItemKey,GenericName,BrandName,DosageStrength,BatchLotNo,ExpiryDate,SoldPer,StockOnHand,MinimalStock,PurchasePrice,SellingPrice,InventoryValue,IsActive,NearExpiryFlag,StockStatus,Remarks
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Doptrex | 40 mg/mL | 2BL24001,Dopamine,Doptrex,40 mg/mL,2BL24001,03/30/27,ampoule,75,50,44.00,120.00,"3,300.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Dixin | 250 mg/mL | IDGNA2403A,Digoxin,Dixin,250 mg/mL,IDGNA2403A,07/30/27,ampoule,30,50,105.00,250.00,"3,150.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Hyphen | 50 mg/mL | 230710,Diphenhydramine,Hyphen,50 mg/mL,230710,07/30/26,ampoule,100,100,21.00,65.00,"2,100.00",TRUE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Lazicare | 20 mg/2 mL | 240440,Furosimide,Lazicare,20 mg/2 mL,240440,04/30/27,ampoule,50,100,5.50,45.00,275.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Porfever | 300 mg/2 mL | 240444,Paracetamol,Porfever,300 mg/2 mL,240444,04/30/27,ampoule,40,200,6.50,35.00,260.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Metoclosil | 10 mg/2 mL | 2403139,Metoclopramide,Metoclosil,10 mg/2 mL,2403139,03/30/27,ampoule,300,200,5.50,45.00,"1,650.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Vitasone | 100 mg | M240041,Hydrocortisone,Vitasone,100 mg,M240041,04/03/27,vial,20,50,75.00,225.00,"1,500.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Pantrex | 100 mg/mL | 1123152,Tranexamic Acid,Pantrex,100 mg/mL,1123152,10/30/26,ampoule,0,100,53.00,160.00,0.00,TRUE,OUT OF STOCK,OUT,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Seredol | 5 mg/mL | 223490,Haloperidol,Seredol,5 mg/mL,223490,11/01/26,ampoule,3,3,"1,350.00","1,690.00","4,050.00",TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Phytocore | 10 mg/2 mL | 230941,Phytomenadione,Phytocore,10 mg/2 mL,230941,09/30/26,ampoule,70,100,15.00,75.00,"1,050.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Nupira 4 | 4 mg/4 mL | L0462308E2,Norepnephrine,Nupira 4,4 mg/4 mL,L0462308E2,04/24/26,ampoule,10,20,100.00,780.00,"1,000.00",TRUE,EXPIRY RISK,LOW,
