_id,brand_name,generic_name,dosage_strength,unit_code,selling_price,item_key,vat_status,is_active
69cdfa457d949500267e8def,"Sobinate","Sodium Bicarbonate","84mg",AMPULE,300,Sobinate|84mg,VATABLE,TRUE
69cdfa467d949500267e8df2,"Sodicarb","Sodium Bicarbonate","84mg/mL",AMPULE,250,Sodicarb|84mg/mL,VATABLE,TRUE
69cdfa467d949500267e8df5,"Speeda","Purified Rabies Vaccine","0.5ml",PC,700,Speeda|0.5ml,VATABLE,TRUE
69cdfa467d949500267e8df8,"Stigmithyl","Neotalis","",PC,0,Stigmithyl|,VATABLE,FALSE
69cdfa467d949500267e8dfb,"Stigmithyl","Neostigmine","500mcg/mL",AMPULE,200,Stigmithyl|500mcg/mL,VATABLE,TRUE
69cdfa467d949500267e8dfe,"Tachyban","Adenosine","3mg/mL",AMPULE,570,Tachyban|3mg/mL,VATABLE,TRUE
69cdfa477d949500267e8e01,"Tachyban","Adenosine","3mg/ml",AMPULE,570,Tachyban|3mg/ml,VATABLE,TRUE
69cdfa477d949500267e8e04,"Tazacin","Piperacillin Tazobactam","4.5mg",VIAL,600,Tazacin|4.5mg,VATABLE,TRUE
69cdfa477d949500267e8e07,"Telmibet","Telmisartan","80mg",TABLET,10,Telmibet|80mg,VATABLE,TRUE
69cdfa477d949500267e8e0a,"Tetagam","Human Tetanus Immunoglobulin","1ml",BOX,1,Tetagam|1ml,VATABLE,TRUE
69cdfa487d949500267e8e0d,"Tropin","Atropine","1mg/mL",AMPULE,0,Tropin|1mg/mL,VATABLE,TRUE
